Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	86400.0
Elapsed Live Time:	85187.09
Start Time:	enero 02, 2002, 01:03:32
End Time:	enero 03, 2002, 01:03:32
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	8730821	173296	23	340

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	0
7	7.0	0
8	8.0	0
9	9.0	0
10	10.0	0
11	11.0	0
12	12.0	0
13	13.0	0
14	14.0	0
15	15.0	0
16	16.0	0
17	17.0	0
18	18.0	0
19	19.0	0
20	20.0	0
21	21.0	0
22	22.0	0
23	23.0	1
24	24.0	0
25	25.0	0
26	26.0	0
27	27.0	1
28	28.0	2
29	29.0	0
30	30.0	1
31	31.0	0
32	32.0	2
33	33.0	5
34	34.0	0
35	35.0	1
36	36.0	3
37	37.0	2
38	38.0	0
39	39.0	3
40	40.0	4
41	41.0	5
42	42.0	6
43	43.0	5
44	44.0	10
45	45.0	7
46	46.0	8
47	47.0	12
48	48.0	14
49	49.0	17
50	50.0	21
51	51.0	13
52	52.0	16
53	53.0	13
54	54.0	19
55	55.0	24
56	56.0	13
57	57.0	15
58	58.0	26
59	59.0	18
60	60.0	18
61	61.0	22
62	62.0	25
63	63.0	21
64	64.0	19
65	65.0	24
66	66.0	22
67	67.0	34
68	68.0	34
69	69.0	22
70	70.0	43
71	71.0	49
72	72.0	45
73	73.0	42
74	74.0	48
75	75.0	44
76	76.0	65
77	77.0	49
78	78.0	49
79	79.0	50
80	80.0	61
81	81.0	61
82	82.0	68
83	83.0	72
84	84.0	70
85	85.0	96
86	86.0	80
87	87.0	88
88	88.0	103
89	89.0	109
90	90.0	126
91	91.0	107
92	92.0	132
93	93.0	129
94	94.0	138
95	95.0	162
96	96.0	188
97	97.0	183
98	98.0	174
99	99.0	226
100	100.0	252
101	101.0	235
102	102.0	232
103	103.0	275
104	104.0	277
105	105.0	270
106	106.0	267
107	107.0	284
108	108.0	275
109	109.0	270
110	110.0	266
111	111.0	215
112	112.0	236
113	113.0	227
114	114.0	217
115	115.0	227
116	116.0	239
117	117.0	212
118	118.0	230
119	119.0	245
120	120.0	245
121	121.0	213
122	122.0	206
123	123.0	193
124	124.0	215
125	125.0	206
126	126.0	180
127	127.0	214
128	128.0	215
129	129.0	180
130	130.0	186
131	131.0	188
132	132.0	180
133	133.0	199
134	134.0	195
135	135.0	191
136	136.0	302
137	137.0	4779
138	138.0	65293
139	139.0	258997
140	140.0	392071
141	141.0	411154
142	142.0	403965
143	143.0	403584
144	144.0	401833
145	145.0	405315
146	146.0	399142
147	147.0	397070
148	148.0	394803
149	149.0	397423
150	150.0	391462
151	151.0	391846
152	152.0	387462
153	153.0	389981
154	154.0	383493
155	155.0	382723
156	156.0	379890
157	157.0	382443
158	158.0	376429
159	159.0	374507
160	160.0	374167
161	161.0	375295
162	162.0	369677
163	163.0	366915
164	164.0	367129
165	165.0	368418
166	166.0	363222
167	167.0	364527
168	168.0	359487
169	169.0	361884
170	170.0	356553
171	171.0	354913
172	172.0	353278
173	173.0	354714
174	174.0	348291
175	175.0	347918
176	176.0	345254
177	177.0	346885
178	178.0	341349
179	179.0	337767
180	180.0	335829
181	181.0	337075
182	182.0	332974
183	183.0	333485
184	184.0	327515
185	185.0	329097
186	186.0	323841
187	187.0	322361
188	188.0	319712
189	189.0	321556
190	190.0	316444
191	191.0	313918
192	192.0	312808
193	193.0	313088
194	194.0	307332
195	195.0	306471
196	196.0	304244
197	197.0	305791
198	198.0	300679
199	199.0	301343
200	200.0	297571
201	201.0	298359
202	202.0	293485
203	203.0	291171
204	204.0	289394
205	205.0	290102
206	206.0	285527
207	207.0	284470
208	208.0	283049
209	209.0	283295
210	210.0	278862
211	211.0	277419
212	212.0	277387
213	213.0	276704
214	214.0	272038
215	215.0	272938
216	216.0	269020
217	217.0	269520
218	218.0	265652
219	219.0	262735
220	220.0	261904
221	221.0	262865
222	222.0	258985
223	223.0	257122
224	224.0	255725
225	225.0	256840
226	226.0	253574
227	227.0	252049
228	228.0	250092
229	229.0	252508
230	230.0	247143
231	231.0	247814
232	232.0	245359
233	233.0	246281
234	234.0	243439
235	235.0	240959
236	236.0	240543
237	237.0	241332
238	238.0	238531
239	239.0	237136
240	240.0	235601
241	241.0	237888
242	242.0	234176
243	243.0	232994
244	244.0	230728
245	245.0	233445
246	246.0	230629
247	247.0	231333
248	248.0	228017
249	249.0	228751
250	250.0	226203
251	251.0	225107
252	252.0	224020
253	253.0	224940
254	254.0	221347
255	255.0	217914
256	256.0	220127
257	257.0	220571
258	258.0	217292
259	259.0	215815
260	260.0	215782
261	261.0	216595
262	262.0	213453
263	263.0	213272
264	264.0	210680
265	265.0	211136
266	266.0	208468
267	267.0	206740
268	268.0	206303
269	269.0	207059
270	270.0	204510
271	271.0	202686
272	272.0	201822
273	273.0	203265
274	274.0	200402
275	275.0	198268
276	276.0	198714
277	277.0	198479
278	278.0	196587
279	279.0	196748
280	280.0	194356
281	281.0	195256
282	282.0	193634
283	283.0	192831
284	284.0	191761
285	285.0	192299
286	286.0	190123
287	287.0	187906
288	288.0	188754
289	289.0	189417
290	290.0	187327
291	291.0	185587
292	292.0	185660
293	293.0	186447
294	294.0	183425
295	295.0	185290
296	296.0	183120
297	297.0	184834
298	298.0	182158
299	299.0	181971
300	300.0	180690
301	301.0	182253
302	302.0	180710
303	303.0	180265
304	304.0	180511
305	305.0	182421
306	306.0	180714
307	307.0	180305
308	308.0	181055
309	309.0	183039
310	310.0	181297
311	311.0	183441
312	312.0	181456
313	313.0	182821
314	314.0	182693
315	315.0	183276
316	316.0	184018
317	317.0	185074
318	318.0	184433
319	319.0	183874
320	320.0	184350
321	321.0	185395
322	322.0	184591
323	323.0	183323
324	324.0	182866
325	325.0	184161
326	326.0	182314
327	327.0	182588
328	328.0	180150
329	329.0	180902
330	330.0	176948
331	331.0	176842
332	332.0	174033
333	333.0	175368
334	334.0	171705
335	335.0	170006
336	336.0	167404
337	337.0	167192
338	338.0	164609
339	339.0	161577
340	340.0	159298
341	341.0	158284
342	342.0	155653
343	343.0	154015
344	344.0	150228
345	345.0	149816
346	346.0	146400
347	347.0	144247
